USER_ID,PHOTO_ID,CREATED_AT
2,1,2023-01-20 00:00:00.000
5,1,2023-01-20 00:00:00.000
9,1,2023-01-20 00:00:00.000
10,1,2023-01-20 00:00:00.000
11,1,2023-01-20 00:00:00.000
14,1,2023-01-20 00:00:00.000
19,1,2023-01-20 00:00:00.000
21,1,2023-01-20 00:00:00.000
24,1,2023-01-20 00:00:00.000
35,1,2023-01-20 00:00:00.000
36,1,2023-01-20 00:00:00.000
41,1,2023-01-20 00:00:00.000
46,1,2023-01-20 00:00:00.000
47,1,2023-01-20 00:00:00.000
54,1,2023-01-20 00:00:00.000
55,1,2023-01-20 00:00:00.000
57,1,2023-01-20 00:00:00.000
66,1,2023-01-20 00:00:00.000
69,1,2023-01-20 00:00:00.000
71,1,2023-01-20 00:00:00.000
75,1,2023-01-20 00:00:00.000
76,1,2023-01-20 00:00:00.000
78,1,2023-01-20 00:00:00.000
82,1,2023-01-20 00:00:00.000
91,1,2023-01-20 00:00:00.000
3,2,2023-01-20 00:00:00.000
5,2,2023-01-20 00:00:00.000
6,2,2023-01-20 00:00:00.000
8,2,2023-01-20 00:00:00.000
14,2,2023-01-20 00:00:00.000
17,2,2023-01-20 00:00:00.000
19,2,2023-01-20 00:00:00.000
21,2,2023-01-20 00:00:00.000
24,2,2023-01-20 00:00:00.000
26,2,2023-01-20 00:00:00.000
27,2,2023-01-20 00:00:00.000
30,2,2023-01-20 00:00:00.000
31,2,2023-01-20 00:00:00.000
33,2,2023-01-20 00:00:00.000
36,2,2023-01-20 00:00:00.000
38,2,2023-01-20 00:00:00.000
40,2,2023-01-20 00:00:00.000
41,2,2023-01-20 00:00:00.000
44,2,2023-01-20 00:00:00.000
52,2,2023-01-20 00:00:00.000
54,2,2023-01-20 00:00:00.000
56,2,2023-01-20 00:00:00.000
57,2,2023-01-20 00:00:00.000
62,2,2023-01-20 00:00:00.000
63,2,2023-01-20 00:00:00.000
66,2,2023-01-20 00:00:00.000
71,2,2023-01-20 00:00:00.000
75,2,2023-01-20 00:00:00.000
76,2,2023-01-20 00:00:00.000
82,2,2023-01-20 00:00:00.000
87,2,2023-01-20 00:00:00.000
91,2,2023-01-20 00:00:00.000
92,2,2023-01-20 00:00:00.000
94,2,2023-01-20 00:00:00.000
95,2,2023-01-20 00:00:00.000
96,2,2023-01-20 00:00:00.000
4,3,2023-01-20 00:00:00.000
5,3,2023-01-20 00:00:00.000
12,3,2023-01-20 00:00:00.000
14,3,2023-01-20 00:00:00.000
15,3,2023-01-20 00:00:00.000
20,3,2023-01-20 00:00:00.000
21,3,2023-01-20 00:00:00.000
24,3,2023-01-20 00:00:00.000
27,3,2023-01-20 00:00:00.000
28,3,2023-01-20 00:00:00.000
33,3,2023-01-20 00:00:00.000
36,3,2023-01-20 00:00:00.000
