FOLLOWER_ID,FOLLOWEE_ID,CREATED_AT
2,1,2023-01-20 00:00:00.000
2,3,2023-01-20 00:00:00.000
2,4,2023-01-20 00:00:00.000
2,5,2023-01-20 00:00:00.000
2,6,2023-01-20 00:00:00.000
2,7,2023-01-20 00:00:00.000
2,8,2023-01-20 00:00:00.000
2,9,2023-01-20 00:00:00.000
2,10,2023-01-20 00:00:00.000
2,11,2023-01-20 00:00:00.000
2,12,2023-01-20 00:00:00.000
2,13,2023-01-20 00:00:00.000
2,14,2023-01-20 00:00:00.000
2,15,2023-01-20 00:00:00.000
2,16,2023-01-20 00:00:00.000
2,17,2023-01-20 00:00:00.000
2,18,2023-01-20 00:00:00.000
2,19,2023-01-20 00:00:00.000
2,20,2023-01-20 00:00:00.000
2,21,2023-01-20 00:00:00.000
2,22,2023-01-20 00:00:00.000
2,23,2023-01-20 00:00:00.000
2,24,2023-01-20 00:00:00.000
2,25,2023-01-20 00:00:00.000
2,26,2023-01-20 00:00:00.000
2,27,2023-01-20 00:00:00.000
2,28,2023-01-20 00:00:00.000
2,29,2023-01-20 00:00:00.000
2,30,2023-01-20 00:00:00.000
2,31,2023-01-20 00:00:00.000
2,32,2023-01-20 00:00:00.000
2,33,2023-01-20 00:00:00.000
2,34,2023-01-20 00:00:00.000
2,35,2023-01-20 00:00:00.000
2,36,2023-01-20 00:00:00.000
2,37,2023-01-20 00:00:00.000
2,38,2023-01-20 00:00:00.000
2,39,2023-01-20 00:00:00.000
2,40,2023-01-20 00:00:00.000
2,41,2023-01-20 00:00:00.000
2,42,2023-01-20 00:00:00.000
2,43,2023-01-20 00:00:00.000
2,44,2023-01-20 00:00:00.000
2,45,2023-01-20 00:00:00.000
2,46,2023-01-20 00:00:00.000
2,47,2023-01-20 00:00:00.000
2,48,2023-01-20 00:00:00.000
2,49,2023-01-20 00:00:00.000
2,50,2023-01-20 00:00:00.000
2,51,2023-01-20 00:00:00.000
2,52,2023-01-20 00:00:00.000
2,53,2023-01-20 00:00:00.000
2,54,2023-01-20 00:00:00.000
2,55,2023-01-20 00:00:00.000
2,56,2023-01-20 00:00:00.000
2,57,2023-01-20 00:00:00.000
2,58,2023-01-20 00:00:00.000
2,59,2023-01-20 00:00:00.000
2,60,2023-01-20 00:00:00.000
2,61,2023-01-20 00:00:00.000
2,62,2023-01-20 00:00:00.000
2,63,2023-01-20 00:00:00.000
2,64,2023-01-20 00:00:00.000
2,65,2023-01-20 00:00:00.000
2,66,2023-01-20 00:00:00.000
2,67,2023-01-20 00:00:00.000
2,68,2023-01-20 00:00:00.000
2,69,2023-01-20 00:00:00.000
2,70,2023-01-20 00:00:00.000
2,71,2023-01-20 00:00:00.000
2,72,2023-01-20 00:00:00.000
2,73,2023-01-20 00:00:00.000
2,74,2023-01-20 00:00:00.000
2,75,2023-01-20 00:00:00.000
2,76,2023-01-20 00:00:00.000
2,77,2023-01-20 00:00:00.000
2,78,2023-01-20 00:00:00.000
2,79,2023-01-20 00:00:00.000
2,80,2023-01-20 00:00:00.000
